sentence,word,prediction,score,difference_rate
"(DE) Mr President, that was a very brief description of the problem.",DE,0.34921136498451233,0.7749999999999999,54.940469034256466
"I therefore call on the Commission and the Member States to supply accurate statistics on the impact of the crisis on women and men, and on the Member States, before they implement any budget austerity policies, to carry out gender-based impact studies so as to prevent women from being disproportionately affected.",austerity,0.3134680688381195,0.640625,51.068399010635005
"The first item is the report by Mr José Manuel Fernandes, on behalf of the Committee on Budgets, on the guidelines for the 2012 budget procedure, Section I - European Parliament, Section II - Council, Section IV - Court of Justice, Section V - Court of Auditors, Section VI - European Economic and Social Committee, Section VII - Committee of the Regions, Section VIII - European Ombudsman, Section IX - European Data Protection Supervisor, Section X - European External Action Service (Α7-0049/2011).",Ombudsman,0.3642577230930328,0.725,49.75755543544375
"The struggle against global Islamic terrorism is an asymmetric war with unforeseen results and unprecedented consequences, and new jurisprudence internationally is now needed to address this.",jurisprudence,0.3452373445034027,0.671875,48.61583709716797
"The reason I was slightly late was that I was at the airport receiving the Emir of Qatar, and there was a slight delay on the journey there and back.",Emir,0.3507557213306427,0.675,48.03618943249738
"We have had Operation Artemis in Ituri province, the temporary EUFOR deployment in the period leading up to the 2006 elections, as well as EUSEC RD Congo for reform of the defence forces and EUPOL RD Congo for reform of the police.",Artemis,0.35254329442977905,0.6666666666666666,47.118505835533135
"(PL) Mr President, I would like to make an unequivocal statement concerning the report we voted on this morning.",PL,0.301983505487442,0.5694444444444444,46.96875025586384
Anybody my age will certainly remember what thalidomide meant: the images of children born with no limbs.,thalidomide,0.4049164950847626,0.7352941176470589,44.9313566684723
"It is a moment of important reflection, introduced by Act 41 of 2009, on what is, unfortunately, a widespread and increasingly serious phenomenon, because today paedophiles are not old men who trick children in parks but people who circulate within an internationally organised structure and who use the most modern forms of technology, such as the Internet.",paedophiles,0.3795836269855499,0.6805555555555556,44.22444664702124
"On the contrary, it has actually been kept active, even over the past few weeks, and it is our intention to contribute constructively to this activity in order to facilitate full ministerial resumption in due course, once the necessary technical analyses now being undertaken by key countries on the remaining problematic issues have been completed.",resumption,0.335271030664444,0.6,44.121494889259324
Mobilisation of the European Globalisation Adjustment Fund: Ireland - SR Technics (,Globalisation,0.34310126304626465,0.6111111111111112,43.85615695606579
Accession of Liechtenstein to the Agreement between the EC and Switzerland concerning the establishment of the State responsible for examining a request for asylum lodged in a Member State or in Switzerland (,Accession,0.3456961214542389,0.6071428571428571,43.06181528989006
It has now become difficult for food manufacturers and distributors to maintain an overview of the multiplicity of existing laws - whether these are EU laws or national laws of the Member States.,multiplicity,0.3287781774997711,0.5714285714285714,42.46381893754005
"Despite some very positive signals from President Medvedev last year, the actual human rights situation in Russia and, in particular, in the Northern Caucasus region, remains deeply preoccupying.",Caucasus,0.2888871729373932,0.5,42.22256541252136
(EL) The next item is the statements by the Council and the Commission on sea piracy.,EL,0.373815655708313,0.6447368421052632,42.02042891054737
"However, in the case of the Balkan countries the issue is not only reform of the judicial system but also full cooperation with the International Criminal Tribunal in The Hague.",Hague,0.3203546702861786,0.55,41.753696311603896
"There is apparently here in this Parliament a variation on the Latin saying Quod licet Iovi, non licet bovi, what is legitimate for Mrs Lulling, is not legitimate for an ordinary MEP.",Quod,0.3974180221557617,0.6785714285714286,41.433133577045645
"And now I would like to request again that I finally be given a reply so that I do not have to repeat my entreaty, like a prayer wheel, at the start of every sitting!",entreaty,0.3726872503757477,0.6333333333333333,41.15464467751352
"The next item is the debate on the oral question to the Commission on the follow-up of the EP resolution on cross-border collective copyright management (Lévai report, by Giuseppe Gargani, on behalf of the Committee on Legal Affairs - B6-0381/2007).",EP,0.3611253798007965,0.6111111111111112,40.90675603259694
